ID: 581c32d2-90b0-4fd7-a7c8-49a62494cb3c, Name: Virginia Haley, New Salary: 95000
ID: 3ba8a3ac-9ea2-4f21-8678-78285e72954c, Name: Buckley Brock, New Salary: 97500
ID: 414c1780-30b9-4160-b96a-57627e393ed0, Name: Jennings Vazquez, New Salary: 76500
ID: c4cc91ee-71df-4139-9d75-00a11a45543e, Name: Melendez Ratliff, New Salary: 57000
ID: 80d90f6e-7660-44f8-b3bd-6368d35525d6, Name: Martha Livingston, New Salary: 70500
ID: 545b5d1a-3fe7-4963-8463-855b8da87d89, Name: Rosalinda Finley, New Salary: 75000
ID: d1729184-734d-4641-9082-3944106a1b85, Name: Waller Harrell, New Salary: 49500
ID: b020da8e-ea5f-4306-9954-41f6a1fa18d1, Name: Lily Knowles, New Salary: 101500
ID: 6fd4f242-2cf8-41cf-91cc-8c8bf5f43c6f, Name: Farmer Castro, New Salary: 119500
ID: 2c527c8b-7a81-443c-a45b-3cdfff9aff4d, Name: Malone Shields, New Salary: 85500
ID: aedf986c-1e31-44ba-8af5-273e8ed91ffe, Name: Doyle Hardy, New Salary: 99500
ID: c592ea99-5387-449a-b644-f480246e2320, Name: Susana Donaldson, New Salary: 43500
ID: 9c757462-5a4f-4d68-9c56-9d3d6a94c469, Name: Susan Pollard, New Salary: 69500
ID: 9db12c79-feb6-4b6e-9a89-63b1ebed685a, Name: Serrano Howard, New Salary: 62500
ID: 756ad349-b840-4774-ab5d-d4288b26e5f9, Name: Fulton Cruz, New Salary: 62500
ID: 2e17784f-f684-4515-a4e2-2ab9ae7717fa, Name: Singleton Simon, New Salary: 125000
ID: 88f327aa-30c5-4d0a-a903-ba29311e7831, Name: Downs Petty, New Salary: 67000
ID: ff9c5b17-a260-49ac-8877-12995fe9d847, Name: Renee Dillard, New Salary: 86000
ID: 7cde001c-7c60-4dc9-bbec-7b12394cbea9, Name: Juliet Holden, New Salary: 99000
ID: 8e453cb7-4cd0-4e55-bb96-cc829e866acb, Name: Fleming Mercer, New Salary: 108000
ID: e98d56e8-0164-4b7a-9f0c-f8805404dae4, Name: Roseann Slater, New Salary: 49500
ID: 01641005-dade-43a9-935f-1858769dc59a, Name: Alexis Ortiz, New Salary: 95500
ID: 91fa3a03-e476-4692-af56-12c1dd76b7a5, Name: Cole Ellis, New Salary: 96000
ID: f2a1d3a0-1be0-4d96-b159-a2d96c2c70e7, Name: Kara Wallace, New Salary: 117500
ID: 2a50c9c0-79d6-4c9a-a972-6ce877ca6080, Name: Michele Barber, New Salary: 77000
